row-number,field,issue-type,value
1,organisation,default,local-authority-eng:BAB
1,entry-date,default,2020-09-11
2,organisation,default,local-authority-eng:BAB
2,entry-date,default,2020-09-11
3,organisation,default,local-authority-eng:BAB
3,entry-date,default,2020-09-11
4,organisation,default,local-authority-eng:BAB
4,entry-date,default,2020-09-11
5,organisation,default,local-authority-eng:BAB
5,entry-date,default,2020-09-11
6,organisation,default,local-authority-eng:BAB
6,entry-date,default,2020-09-11
7,organisation,default,local-authority-eng:BAB
7,entry-date,default,2020-09-11
8,organisation,default,local-authority-eng:BAB
8,entry-date,default,2020-09-11
9,organisation,default,local-authority-eng:BAB
9,entry-date,default,2020-09-11
10,organisation,default,local-authority-eng:BAB
10,entry-date,default,2020-09-11
11,organisation,default,local-authority-eng:BAB
11,entry-date,default,2020-09-11
12,organisation,default,local-authority-eng:BAB
12,entry-date,default,2020-09-11
13,organisation,default,local-authority-eng:BAB
13,entry-date,default,2020-09-11
14,organisation,default,local-authority-eng:BAB
14,entry-date,default,2020-09-11
15,organisation,default,local-authority-eng:BAB
15,entry-date,default,2020-09-11
16,organisation,default,local-authority-eng:BAB
16,entry-date,default,2020-09-11
17,organisation,default,local-authority-eng:BAB
17,entry-date,default,2020-09-11
18,organisation,default,local-authority-eng:BAB
18,entry-date,default,2020-09-11
19,organisation,default,local-authority-eng:BAB
19,entry-date,default,2020-09-11
20,organisation,default,local-authority-eng:BAB
20,entry-date,default,2020-09-11
21,organisation,default,local-authority-eng:BAB
21,entry-date,default,2020-09-11
22,organisation,default,local-authority-eng:BAB
22,entry-date,default,2020-09-11
23,organisation,default,local-authority-eng:BAB
23,entry-date,default,2020-09-11
24,organisation,default,local-authority-eng:BAB
24,entry-date,default,2020-09-11
25,organisation,default,local-authority-eng:BAB
25,entry-date,default,2020-09-11
26,organisation,default,local-authority-eng:BAB
26,entry-date,default,2020-09-11
27,organisation,default,local-authority-eng:BAB
27,entry-date,default,2020-09-11
28,organisation,default,local-authority-eng:BAB
28,entry-date,default,2020-09-11
29,organisation,default,local-authority-eng:BAB
29,entry-date,default,2020-09-11
30,organisation,default,local-authority-eng:BAB
30,entry-date,default,2020-09-11
31,organisation,default,local-authority-eng:BAB
31,entry-date,default,2020-09-11
32,organisation,default,local-authority-eng:BAB
32,entry-date,default,2020-09-11
33,organisation,default,local-authority-eng:BAB
33,entry-date,default,2020-09-11
34,organisation,default,local-authority-eng:BAB
34,entry-date,default,2020-09-11
35,organisation,default,local-authority-eng:BAB
35,entry-date,default,2020-09-11
36,organisation,default,local-authority-eng:BAB
36,entry-date,default,2020-09-11
37,organisation,default,local-authority-eng:BAB
37,entry-date,default,2020-09-11
38,organisation,default,local-authority-eng:BAB
38,entry-date,default,2020-09-11
39,organisation,default,local-authority-eng:BAB
39,entry-date,default,2020-09-11
40,organisation,default,local-authority-eng:BAB
40,entry-date,default,2020-09-11
41,organisation,default,local-authority-eng:BAB
41,entry-date,default,2020-09-11
42,organisation,default,local-authority-eng:BAB
42,entry-date,default,2020-09-11
43,organisation,default,local-authority-eng:BAB
43,entry-date,default,2020-09-11
44,organisation,default,local-authority-eng:BAB
44,entry-date,default,2020-09-11
45,organisation,default,local-authority-eng:BAB
45,entry-date,default,2020-09-11
46,organisation,default,local-authority-eng:BAB
46,entry-date,default,2020-09-11
47,organisation,default,local-authority-eng:BAB
47,entry-date,default,2020-09-11
48,organisation,default,local-authority-eng:BAB
48,entry-date,default,2020-09-11
49,organisation,default,local-authority-eng:BAB
49,entry-date,default,2020-09-11
50,organisation,default,local-authority-eng:BAB
50,entry-date,default,2020-09-11
51,organisation,default,local-authority-eng:BAB
51,entry-date,default,2020-09-11
52,organisation,default,local-authority-eng:BAB
52,entry-date,default,2020-09-11
53,organisation,default,local-authority-eng:BAB
53,entry-date,default,2020-09-11
54,organisation,default,local-authority-eng:BAB
54,entry-date,default,2020-09-11
55,organisation,default,local-authority-eng:BAB
55,entry-date,default,2020-09-11
56,organisation,default,local-authority-eng:BAB
56,entry-date,default,2020-09-11
57,organisation,default,local-authority-eng:BAB
57,entry-date,default,2020-09-11
58,organisation,default,local-authority-eng:BAB
58,entry-date,default,2020-09-11
59,organisation,default,local-authority-eng:BAB
59,entry-date,default,2020-09-11
60,organisation,default,local-authority-eng:BAB
60,entry-date,default,2020-09-11
61,organisation,default,local-authority-eng:BAB
61,entry-date,default,2020-09-11
62,organisation,default,local-authority-eng:BAB
62,entry-date,default,2020-09-11
