prefix,resource,organisation,reference,entity
conservation-area,,government-organisation:PB1164,5080,44000001
conservation-area,,government-organisation:PB1164,5071,44000002
conservation-area,,government-organisation:PB1164,5074,44000003
conservation-area,,government-organisation:PB1164,5075,44000004
conservation-area,,government-organisation:PB1164,5078,44000005
conservation-area,,government-organisation:PB1164,5079,44000006
conservation-area,,government-organisation:PB1164,5054,44000007
conservation-area,,government-organisation:PB1164,5062,44000008
conservation-area,,government-organisation:PB1164,5063,44000009
conservation-area,,government-organisation:PB1164,5067,44000010
conservation-area,,government-organisation:PB1164,5065,44000011
conservation-area,,government-organisation:PB1164,5068,44000012
conservation-area,,government-organisation:PB1164,5066,44000013
conservation-area,,government-organisation:PB1164,5070,44000014
conservation-area,,government-organisation:PB1164,2504,44000015
conservation-area,,government-organisation:PB1164,5106,44000016
conservation-area,,government-organisation:PB1164,9473,44000017
conservation-area,,government-organisation:PB1164,2485,44000018
conservation-area,,government-organisation:PB1164,5093,44000019
conservation-area,,government-organisation:PB1164,2497,44000020
conservation-area,,government-organisation:PB1164,5094,44000021
conservation-area,,government-organisation:PB1164,1422,44000022
conservation-area,,government-organisation:PB1164,7891,44000023
conservation-area,,government-organisation:PB1164,2484,44000024
conservation-area,,government-organisation:PB1164,2501,44000025
conservation-area,,government-organisation:PB1164,5089,44000026
conservation-area,,government-organisation:PB1164,2507,44000027
conservation-area,,government-organisation:PB1164,5144,44000028
conservation-area,,government-organisation:PB1164,5090,44000029
conservation-area,,government-organisation:PB1164,1086,44000030
conservation-area,,government-organisation:PB1164,1425,44000031
conservation-area,,government-organisation:PB1164,7892,44000032
conservation-area,,government-organisation:PB1164,1424,44000033
conservation-area,,government-organisation:PB1164,1421,44000034
conservation-area,,government-organisation:PB1164,7703,44000035
conservation-area,,government-organisation:PB1164,7702,44000036
conservation-area,,government-organisation:PB1164,7701,44000037
conservation-area,,government-organisation:PB1164,7711,44000038
conservation-area,,government-organisation:PB1164,7710,44000039
conservation-area,,government-organisation:PB1164,7709,44000040
conservation-area,,government-organisation:PB1164,7708,44000041
conservation-area,,government-organisation:PB1164,7714,44000042
conservation-area,,government-organisation:PB1164,7716,44000043
conservation-area,,government-organisation:PB1164,7721,44000044
conservation-area,,government-organisation:PB1164,7723,44000045
conservation-area,,government-organisation:PB1164,1357,44000046
conservation-area,,government-organisation:PB1164,1350,44000047
conservation-area,,government-organisation:PB1164,1356,44000048
conservation-area,,government-organisation:PB1164,1355,44000049
conservation-area,,government-organisation:PB1164,1359,44000050
conservation-area,,government-organisation:PB1164,1358,44000051
conservation-area,,government-organisation:PB1164,1353,44000052
conservation-area,,government-organisation:PB1164,1352,44000053
conservation-area,,government-organisation:PB1164,308,44009653
conservation-area,,local-authority-eng:CMD,COA00000432,44009653
conservation-area,,government-organisation:PB1164,280,44009634
conservation-area,,local-authority-eng:CMD,COA00000435,44009634
conservation-area,,government-organisation:PB1164,278,44009642
conservation-area,,local-authority-eng:CMD,COA00000436,44009642
conservation-area,,government-organisation:PB1164,289,44009648
conservation-area,,local-authority-eng:CMD,COA00000437,44009648
conservation-area,,government-organisation:PB1164,272,44009659
conservation-area,,government-organisation:PB1164,273,44009654
conservation-area,,local-authority-eng:CMD,COA00000442,44009654
conservation-area,,government-organisation:PB1164,311,44009655
conservation-area,,local-authority-eng:CMD,COA00000444,44009655
conservation-area,,government-organisation:PB1164,309,44009662
conservation-area,,government-organisation:PB1164,301,44009620
conservation-area,,local-authority-eng:CMD,COA00000443,44009620
conservation-area,,government-organisation:PB1164,284,44009625
conservation-area,,local-authority-eng:CMD,COA00000445,44009625
conservation-area,,government-organisation:PB1164,293,44009624
conservation-area,,local-authority-eng:CMD,COA00000447,44009624
conservation-area,,government-organisation:PB1164,287,44009657
conservation-area,,local-authority-eng:CMD,COA00000448,44009657
conservation-area,,government-organisation:PB1164,275,44009630
conservation-area,,local-authority-eng:CMD,COA00000454,44009630
conservation-area,,government-organisation:PB1164,9864,44009652
conservation-area,,local-authority-eng:CMD,COA00000463,44009652
conservation-area,,government-organisation:PB1164,288,44009640
conservation-area,,local-authority-eng:CMD,COA00000455,44009640
conservation-area,,government-organisation:PB1164,286,44009649
conservation-area,,local-authority-eng:CMD,COA00000458,44009649
conservation-area,,government-organisation:PB1164,291,44009615
conservation-area,,local-authority-eng:CMD,COA00000456,44009615
conservation-area,,government-organisation:PB1164,7873,44000071
conservation-area,,local-authority-eng:BRT,5,44000071
conservation-area,,government-organisation:PB1164,3197,44000072
conservation-area,,government-organisation:PB1164,3202,44000073
conservation-area,,government-organisation:PB1164,3205,44000074
