row-number,field,issue-type,value
1,organisation,default,local-authority-eng:WNM
1,entry-date,default,2020-12-15
2,organisation,default,local-authority-eng:WNM
2,entry-date,default,2020-12-15
3,organisation,default,local-authority-eng:WNM
3,entry-date,default,2020-12-15
4,organisation,default,local-authority-eng:WNM
4,entry-date,default,2020-12-15
5,organisation,default,local-authority-eng:WNM
5,entry-date,default,2020-12-15
6,organisation,default,local-authority-eng:WNM
6,entry-date,default,2020-12-15
7,organisation,default,local-authority-eng:WNM
7,entry-date,default,2020-12-15
8,organisation,default,local-authority-eng:WNM
8,entry-date,default,2020-12-15
9,organisation,default,local-authority-eng:WNM
9,entry-date,default,2020-12-15
10,organisation,default,local-authority-eng:WNM
10,entry-date,default,2020-12-15
11,organisation,default,local-authority-eng:WNM
11,entry-date,default,2020-12-15
12,organisation,default,local-authority-eng:WNM
12,entry-date,default,2020-12-15
13,organisation,default,local-authority-eng:WNM
13,entry-date,default,2020-12-15
14,organisation,default,local-authority-eng:WNM
14,entry-date,default,2020-12-15
15,organisation,default,local-authority-eng:WNM
15,entry-date,default,2020-12-15
16,organisation,default,local-authority-eng:WNM
16,entry-date,default,2020-12-15
17,organisation,default,local-authority-eng:WNM
17,entry-date,default,2020-12-15
18,organisation,default,local-authority-eng:WNM
18,entry-date,default,2020-12-15
19,organisation,default,local-authority-eng:WNM
19,entry-date,default,2020-12-15
20,organisation,default,local-authority-eng:WNM
20,entry-date,default,2020-12-15
21,organisation,default,local-authority-eng:WNM
21,entry-date,default,2020-12-15
22,organisation,default,local-authority-eng:WNM
22,entry-date,default,2020-12-15
23,organisation,default,local-authority-eng:WNM
23,entry-date,default,2020-12-15
24,organisation,default,local-authority-eng:WNM
24,entry-date,default,2020-12-15
25,organisation,default,local-authority-eng:WNM
25,entry-date,default,2020-12-15
26,organisation,default,local-authority-eng:WNM
26,entry-date,default,2020-12-15
27,organisation,default,local-authority-eng:WNM
27,entry-date,default,2020-12-15
