row-number,field,issue-type,value
1,organisation,default,local-authority-eng:MOL
1,entry-date,default,2020-12-15
2,organisation,default,local-authority-eng:MOL
2,entry-date,default,2020-12-15
3,organisation,default,local-authority-eng:MOL
3,entry-date,default,2020-12-15
4,organisation,default,local-authority-eng:MOL
4,entry-date,default,2020-12-15
5,organisation,default,local-authority-eng:MOL
5,entry-date,default,2020-12-15
6,organisation,default,local-authority-eng:MOL
6,entry-date,default,2020-12-15
7,organisation,default,local-authority-eng:MOL
7,entry-date,default,2020-12-15
8,organisation,default,local-authority-eng:MOL
8,entry-date,default,2020-12-15
9,organisation,default,local-authority-eng:MOL
9,entry-date,default,2020-12-15
10,organisation,default,local-authority-eng:MOL
10,entry-date,default,2020-12-15
11,organisation,default,local-authority-eng:MOL
11,entry-date,default,2020-12-15
12,organisation,default,local-authority-eng:MOL
12,entry-date,default,2020-12-15
13,organisation,default,local-authority-eng:MOL
13,entry-date,default,2020-12-15
14,organisation,default,local-authority-eng:MOL
14,entry-date,default,2020-12-15
15,organisation,default,local-authority-eng:MOL
15,entry-date,default,2020-12-15
16,organisation,default,local-authority-eng:MOL
16,entry-date,default,2020-12-15
17,organisation,default,local-authority-eng:MOL
17,entry-date,default,2020-12-15
18,organisation,default,local-authority-eng:MOL
18,entry-date,default,2020-12-15
19,organisation,default,local-authority-eng:MOL
19,entry-date,default,2020-12-15
20,organisation,default,local-authority-eng:MOL
20,entry-date,default,2020-12-15
21,organisation,default,local-authority-eng:MOL
21,entry-date,default,2020-12-15
22,organisation,default,local-authority-eng:MOL
22,entry-date,default,2020-12-15
23,organisation,default,local-authority-eng:MOL
23,entry-date,default,2020-12-15
24,organisation,default,local-authority-eng:MOL
24,entry-date,default,2020-12-15
25,organisation,default,local-authority-eng:MOL
25,entry-date,default,2020-12-15
26,organisation,default,local-authority-eng:MOL
26,entry-date,default,2020-12-15
27,organisation,default,local-authority-eng:MOL
27,entry-date,default,2020-12-15
28,organisation,default,local-authority-eng:MOL
28,entry-date,default,2020-12-15
29,organisation,default,local-authority-eng:MOL
29,entry-date,default,2020-12-15
30,organisation,default,local-authority-eng:MOL
30,entry-date,default,2020-12-15
31,organisation,default,local-authority-eng:MOL
31,entry-date,default,2020-12-15
32,organisation,default,local-authority-eng:MOL
32,entry-date,default,2020-12-15
33,organisation,default,local-authority-eng:MOL
33,entry-date,default,2020-12-15
34,organisation,default,local-authority-eng:MOL
34,entry-date,default,2020-12-15
35,organisation,default,local-authority-eng:MOL
35,entry-date,default,2020-12-15
36,organisation,default,local-authority-eng:MOL
36,entry-date,default,2020-12-15
37,organisation,default,local-authority-eng:MOL
37,entry-date,default,2020-12-15
38,organisation,default,local-authority-eng:MOL
38,entry-date,default,2020-12-15
39,organisation,default,local-authority-eng:MOL
39,entry-date,default,2020-12-15
40,organisation,default,local-authority-eng:MOL
40,entry-date,default,2020-12-15
41,organisation,default,local-authority-eng:MOL
41,entry-date,default,2020-12-15
42,organisation,default,local-authority-eng:MOL
42,entry-date,default,2020-12-15
43,organisation,default,local-authority-eng:MOL
43,entry-date,default,2020-12-15
44,organisation,default,local-authority-eng:MOL
44,entry-date,default,2020-12-15
45,organisation,default,local-authority-eng:MOL
45,entry-date,default,2020-12-15
46,organisation,default,local-authority-eng:MOL
46,entry-date,default,2020-12-15
47,organisation,default,local-authority-eng:MOL
47,entry-date,default,2020-12-15
48,organisation,default,local-authority-eng:MOL
48,entry-date,default,2020-12-15
49,organisation,default,local-authority-eng:MOL
49,entry-date,default,2020-12-15
50,organisation,default,local-authority-eng:MOL
50,entry-date,default,2020-12-15
51,organisation,default,local-authority-eng:MOL
51,entry-date,default,2020-12-15
