row-number,field,issue-type,value
1,organisation,default,local-authority-eng:HMF
1,entry-date,default,2020-12-16
2,organisation,default,local-authority-eng:HMF
2,entry-date,default,2020-12-16
3,organisation,default,local-authority-eng:HMF
3,entry-date,default,2020-12-16
4,organisation,default,local-authority-eng:HMF
4,entry-date,default,2020-12-16
5,organisation,default,local-authority-eng:HMF
5,entry-date,default,2020-12-16
6,organisation,default,local-authority-eng:HMF
6,entry-date,default,2020-12-16
7,organisation,default,local-authority-eng:HMF
7,entry-date,default,2020-12-16
8,organisation,default,local-authority-eng:HMF
8,entry-date,default,2020-12-16
9,organisation,default,local-authority-eng:HMF
9,entry-date,default,2020-12-16
10,organisation,default,local-authority-eng:HMF
10,entry-date,default,2020-12-16
11,organisation,default,local-authority-eng:HMF
11,entry-date,default,2020-12-16
12,organisation,default,local-authority-eng:HMF
12,entry-date,default,2020-12-16
13,organisation,default,local-authority-eng:HMF
13,entry-date,default,2020-12-16
14,organisation,default,local-authority-eng:HMF
14,entry-date,default,2020-12-16
15,organisation,default,local-authority-eng:HMF
15,entry-date,default,2020-12-16
16,organisation,default,local-authority-eng:HMF
16,entry-date,default,2020-12-16
17,organisation,default,local-authority-eng:HMF
17,entry-date,default,2020-12-16
18,organisation,default,local-authority-eng:HMF
18,entry-date,default,2020-12-16
19,organisation,default,local-authority-eng:HMF
19,entry-date,default,2020-12-16
20,organisation,default,local-authority-eng:HMF
20,entry-date,default,2020-12-16
21,organisation,default,local-authority-eng:HMF
21,entry-date,default,2020-12-16
22,organisation,default,local-authority-eng:HMF
22,entry-date,default,2020-12-16
23,organisation,default,local-authority-eng:HMF
23,entry-date,default,2020-12-16
24,organisation,default,local-authority-eng:HMF
24,entry-date,default,2020-12-16
25,organisation,default,local-authority-eng:HMF
25,entry-date,default,2020-12-16
26,organisation,default,local-authority-eng:HMF
26,entry-date,default,2020-12-16
27,organisation,default,local-authority-eng:HMF
27,entry-date,default,2020-12-16
28,organisation,default,local-authority-eng:HMF
28,entry-date,default,2020-12-16
29,organisation,default,local-authority-eng:HMF
29,entry-date,default,2020-12-16
30,organisation,default,local-authority-eng:HMF
30,entry-date,default,2020-12-16
31,organisation,default,local-authority-eng:HMF
31,entry-date,default,2020-12-16
32,organisation,default,local-authority-eng:HMF
32,entry-date,default,2020-12-16
33,organisation,default,local-authority-eng:HMF
33,entry-date,default,2020-12-16
34,organisation,default,local-authority-eng:HMF
34,entry-date,default,2020-12-16
35,organisation,default,local-authority-eng:HMF
35,entry-date,default,2020-12-16
36,organisation,default,local-authority-eng:HMF
36,entry-date,default,2020-12-16
37,organisation,default,local-authority-eng:HMF
37,entry-date,default,2020-12-16
38,organisation,default,local-authority-eng:HMF
38,entry-date,default,2020-12-16
39,organisation,default,local-authority-eng:HMF
39,entry-date,default,2020-12-16
40,organisation,default,local-authority-eng:HMF
40,entry-date,default,2020-12-16
41,organisation,default,local-authority-eng:HMF
41,entry-date,default,2020-12-16
42,organisation,default,local-authority-eng:HMF
42,entry-date,default,2020-12-16
43,organisation,default,local-authority-eng:HMF
43,entry-date,default,2020-12-16
44,organisation,default,local-authority-eng:HMF
44,entry-date,default,2020-12-16
